"Name","Calls","TotalDurationNs","AverageNs","Percentage"
CopyHostToDevice,10,5514590,551459,69.02333049375815
CopyDeviceToHost,14,2447028,174787,30.628210324154654
FillBuffer,6,27840,4640,0.3484591820871954
